file_path	artifact_type	classification	validity_for_closure	owner_field	decision_field	ca_method_markers	parity_scope	source_notes
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/git_diff_names.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/git_status.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/20260214T142755Z-swarm-run-summary_20260216T115329Z/summary.json	json	UNKNOWN	NO					
evidence/_quarantine/20260224T025342Z/agent.md	md	UNKNOWN	NO					
evidence/_quarantine/20260224T051113Z/agent.md	md	UNKNOWN	NO					
evidence/_quarantine/20260224T051855Z/agent.md	md	UNKNOWN	NO					
evidence/_quarantine/20260227-154124-20260228T143340Z/20260227-154124/bundle/single_evidence_bundle.txt	txt	INDIRECT_ONLY	NO					
evidence/_quarantine/20260227-155711-20260228T143340Z/20260227-155711/TT-ARTIFACT_INTEGRITY_DIVERGENCE.md	md	INDIRECT_ONLY	NO					
evidence/_quarantine/20260227-155711-20260228T143340Z/20260227-155711/bundle/single_evidence_bundle.txt	txt	INDIRECT_ONLY	NO					
evidence/_quarantine/20260227-155711-20260228T143340Z/20260227-155711/bundle/web/github_oh_my_opencode_releases.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260227-155711-20260228T143340Z/20260227-155711/bundle/web/github_opencode_releases.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260227-155711-20260228T143340Z/20260227-155711/bundle/web/npm_oh_my_opencode.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260227-155711-20260228T143340Z/20260227-155711/bundle/web/opencode_docs_snapshot.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP1_G0_20260216T115329Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP1_G0_20260216T115329Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP2_G1_20260216T115329Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP2_G1_20260216T115329Z/logs/container_identity.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP2_G1_20260216T115329Z/logs/devcontainer.json	json	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP2_G1_20260216T115329Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/logs/opencode_help_head40.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/logs/opencode_install.stderr.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/logs/opencode_install.stdout.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/logs/opencode_path.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/logs/opencode_version.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP4_G2_20260216T115329Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP5_G2R_20260216T115329Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP5_G2R_20260216T115329Z/logs/diag_path.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP5_G2R_20260216T115329Z/logs/opencode_path_after_fix.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP5_G2R_20260216T115329Z/logs/opencode_version_after_fix.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP5_G2R_20260216T115329Z/logs/path_fix.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP5_G2R_20260216T115329Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP6_G3_20260216T071622Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP6_G3_20260216T071622Z/logs/opencode_run.stderr.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP6_G3_20260216T071622Z/logs/opencode_run.stdout.txt	txt	UNKNOWN	NO					
evidence/_quarantine/UTC_STEP6_G3_20260216T071622Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/_opencode_logs_20260216T115329Z/_last.closeout.verify.txt	txt	UNKNOWN	NO					
evidence/_quarantine/bundle-20260228T143340Z/bundle/single_evidence_bundle.txt	txt	UNKNOWN	NO					
evidence/_quarantine/log-20260225T061428Z/exclude_patterns.txt	txt	UNKNOWN	NO					
evidence/_quarantine/log-20260225T061428Z/tar_members_head.txt	txt	INDIRECT_ONLY	NO					
evidence/_quarantine/snapshots-20260228T143340Z/snapshots/sha256sum.real.txt	txt	INDIRECT_ONLY	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/evidence_file_hashes/manifest.txt	txt	UNKNOWN	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/latest_evd_dir.txt	txt	UNKNOWN	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/metadata.json	json	UNKNOWN	NO					
